"round_date","round_no","hole_no","shot_no","putt","completed","left_to_pin_before","left_to_pin_after","penalty","player_name","name","course_id","start_tee","score","par","yards","lie_after","lie_before","club","direction"
2016-11-18,2,13,1,NA,TRUE,7560,360,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,204,"Green","Tee","iron","center"
2016-11-18,2,13,2,TRUE,TRUE,360,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,204,"Green","Green","putter","short"
2016-11-18,2,13,3,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,204,"Hole","Green","putter","center"
2016-11-18,2,18,1,NA,TRUE,19440,9324,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Fairway","Tee","driver","center"
2016-11-18,2,18,2,NA,TRUE,9324,2520,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Fairway","Fairway","iron","center"
2016-11-18,2,18,3,FALSE,TRUE,2520,72,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Green","Fairway","wedge","center"
2016-11-18,2,18,4,TRUE,TRUE,72,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,5,620,"Hole","Green","putter","center"
2016-11-19,3,2,1,NA,TRUE,20808,11016,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,583,"Intermediate Rough","Tee","driver","right"
2016-11-19,3,2,2,NA,TRUE,11016,2448,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,583,"Intermediate Rough","Intermediate Rough","hybrid","center"
2016-11-19,3,2,3,NA,TRUE,2448,1260,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,583,"Fairway Bunker","Intermediate Rough","wedge","short"
2016-11-19,3,2,4,NA,TRUE,1260,48,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,583,"Green","Fairway Bunker","wedge","center"
2016-11-19,3,2,5,TRUE,TRUE,48,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,5,5,583,"Hole","Green","putter","center"
2016-11-19,3,1,1,NA,TRUE,16092,6156,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,454,"Fairway Bunker","Tee","driver","left"
2016-11-19,3,1,2,NA,TRUE,6156,216,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,454,"Green","Fairway Bunker","iron","center"
2016-11-19,3,1,3,TRUE,TRUE,216,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,454,"Hole","Green","putter","center"
2016-11-19,3,3,1,NA,TRUE,16056,6012,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,452,"Fairway","Tee","driver","center"
2016-11-19,3,3,2,NA,TRUE,6012,600,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,452,"Green","Fairway","iron","center"
2016-11-19,3,3,3,TRUE,TRUE,600,60,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,452,"Green","Green","putter","long right"
2016-11-19,3,3,4,TRUE,TRUE,60,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,4,4,452,"Hole","Green","putter","center"
2016-11-19,3,4,1,NA,TRUE,8064,540,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,245,"Green","Tee","iron","center"
2016-11-19,3,4,2,TRUE,TRUE,540,72,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,245,"Green","Green","putter","long right"
2016-11-19,3,4,3,TRUE,TRUE,72,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,245,"Hole","Green","putter","center"
2016-11-10,1,9,3,NA,TRUE,3816,324,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,596,"Green","Fairway","wedge","center"
2016-11-10,1,9,4,TRUE,TRUE,324,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,596,"Green","Green","putter","left"
2016-11-10,1,9,5,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,5,596,"Hole","Green","putter","center"
2016-11-10,1,10,2,NA,TRUE,8856,540,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,547,"Green","Fairway","fw wood","center"
2016-11-10,1,10,3,TRUE,TRUE,540,48,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,547,"Green","Green","putter","long left"
2016-11-10,1,10,4,TRUE,TRUE,48,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,547,"Hole","Green","putter","center"
2016-11-19,3,5,1,NA,TRUE,14400,4860,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,407,"Fairway","Tee","fw wood","center"
2016-11-19,3,5,2,NA,TRUE,4860,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,407,"Green","Fairway","wedge","center"
2016-11-19,3,5,3,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,4,407,"Hole","Green","putter","center"
2016-11-10,1,11,3,NA,TRUE,1260,168,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,458,"Green","Rough","wedge","center"
2016-11-10,1,13,3,NA,TRUE,288,132,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,444,"Green","Rough","wedge","center"
2016-11-10,1,13,4,TRUE,TRUE,132,24,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,444,"Green","Green","putter","right"
2016-11-10,1,13,1,NA,TRUE,15840,6012,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,444,"Rough","Tee","driver","right"
2016-11-10,1,13,2,NA,TRUE,6012,288,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,444,"Rough","Rough","iron","long"
2016-11-10,1,13,5,TRUE,TRUE,24,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,5,4,444,"Hole","Green","putter","center"
2016-11-10,1,14,1,NA,TRUE,21420,11304,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,601,"Fairway","Tee","driver","center"
2016-11-10,1,14,4,TRUE,TRUE,60,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,601,"Hole","Green","putter","center"
2016-11-10,1,14,2,NA,TRUE,11304,2808,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,601,"Fairway","Fairway","iron","center"
2016-11-10,1,14,3,NA,TRUE,2808,60,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,5,601,"Green","Fairway","wedge","center"
2016-11-10,1,12,3,TRUE,TRUE,36,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,219,"Hole","Green","putter","center"
2016-11-10,1,12,1,NA,TRUE,7812,540,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,219,"Green","Tee","iron","center"
2016-11-10,1,12,2,TRUE,TRUE,540,36,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,3,3,219,"Green","Green","putter","short"
2016-11-10,1,15,1,NA,TRUE,16776,4464,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,471,"Fairway","Tee","driver","center"
2016-11-10,1,15,4,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,471,"Hole","Green","putter","center"
2016-11-10,1,15,2,NA,TRUE,4464,288,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,471,"Green","Fairway","wedge","center"
2016-11-10,1,15,3,TRUE,TRUE,288,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,471,"Green","Green","putter","right"
2016-11-10,1,16,1,NA,TRUE,6876,324,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,2,3,211,"Fairway","Tee","iron","short"
2016-11-10,1,16,2,NA,TRUE,324,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,2,3,211,"Hole","Fairway","wedge","center"
2016-11-10,1,17,1,NA,TRUE,15516,7308,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,478,"Fairway","Tee","driver","center"
2016-11-10,1,17,4,TRUE,TRUE,12,1,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,478,"Hole","Green","putter","center"
2016-11-10,1,17,2,NA,TRUE,7308,252,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,478,"Green Fringe","Fairway","iron","long"
2016-11-10,1,17,3,NA,TRUE,252,12,NA,"David Horsey","Nedbank Golf Challenge hosted by Gary Player",47,1,4,4,478,"Green","Green Fringe","wedge","center"
2016-11-19,3,13,3,TRUE,TRUE,12,1,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,204,"Hole","Green","putter","center"
2016-11-19,3,13,2,TRUE,TRUE,612,12,NA,"David Horsey","DP World Tour Championship, Dubai",48,1,3,3,204,"Green","Green","putter","left"
