left_to_pin_before,penalty,hole_no,shot_no,completed,putt,left_to_pin_after,par,yards,mp_name,usa_player1,usa_player2,eur_player1,eur_player2,mp_start_time,player_shot_name,shot_team,lie_after,lie_before
144,FALSE,14,3,TRUE,TRUE,1,4,448,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Matt Kuchar,USA,Hole,Green
15552,FALSE,18,1,FALSE,FALSE,NA,4,432,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,NA,Tee
NA,FALSE,18,2,FALSE,FALSE,NA,4,432,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,NA,NA
1008,FALSE,1,3,TRUE,FALSE,300,4,442,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Zach Johnson,USA,Green,Greenside Bunker
NA,FALSE,18,3,FALSE,FALSE,1,4,432,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,NA,NA
12,FALSE,2,5,TRUE,TRUE,1,4,429,Friday Foursomes Match 3,Jimmy Walker,Zach Johnson,Martin Kaymer,Sergio Garcia,2016-09-30 13:05:00,Jimmy Walker,USA,Hole,Green
6336,FALSE,17,1,TRUE,FALSE,NA,3,176,Saturday Foursomes Match 1,Rickie Fowler,Phil Mickelson,Thomas Pieters,Rory Mcilroy,2016-10-01 12:35:00,Rickie Fowler,USA,Intermediate Rough,Tee
NA,FALSE,17,2,FALSE,FALSE,1,3,176,Saturday Foursomes Match 1,Rickie Fowler,Phil Mickelson,Thomas Pieters,Rory Mcilroy,2016-10-01 12:35:00,Phil Mickelson,USA,NA,Intermediate Rough
3420,FALSE,5,2,TRUE,FALSE,144,4,352,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Green,Rough
48,FALSE,3,4,TRUE,TRUE,1,5,633,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Jordan Spieth,USA,Hole,Green
22788,FALSE,3,1,TRUE,FALSE,10800,5,633,Friday Foursomes Match 4,Matt Kuchar,Dustin Johnson,Lee Westwood,Thomas Pieters,2016-09-30 13:20:00,Dustin Johnson,USA,Rough,Tee
1296,FALSE,3,3,TRUE,FALSE,48,5,633,Friday Foursomes Match 1,Patrick Reed,Jordan Spieth,Justin Rose,Henrik Stenson,2016-09-30 12:35:00,Patrick Reed,USA,Green,Intermediate Rough
4428,FALSE,3,3,TRUE,FALSE,144,5,633,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Rickie Fowler,USA,Green,Fairway
144,FALSE,3,4,TRUE,TRUE,1,5,633,Friday Foursomes Match 2,Rickie Fowler,Phil Mickelson,Andy Sullivan,Rory Mcilroy,2016-09-30 12:50:00,Phil Mickelson,USA,Hole,Green
